,day_times,day_times,day_times,day_times,day_times,day_times
action_type,0,1,2,3,4,5
user_id,,,,,,
16,202.0,2.0,2.0,0.0,0.0,0.0
30,108.0,1.0,3.0,0.0,0.0,0.0
98,1.0,0.0,0.0,0.0,0.0,0.0
105,1613.0,2.0,1.0,117.0,0.0,0.0
176,81.0,0.0,0.0,0.0,0.0,0.0
218,1019.0,5.0,15.0,1.0,0.0,0.0
225,463.0,2.0,3.0,0.0,0.0,0.0
250,522.0,11.0,3.0,0.0,0.0,0.0
325,370.0,0.0,9.0,0.0,0.0,0.0
336,198.0,1.0,3.0,0.0,0.0,0.0
341,17.0,0.0,0.0,0.0,0.0,0.0
420,26.0,0.0,1.0,0.0,0.0,0.0
481,82.0,4.0,1.0,0.0,0.0,0.0
493,190.0,31.0,9.0,2.0,0.0,0.0
555,2015.0,17.0,21.0,1.0,0.0,0.0
581,425.0,0.0,18.0,0.0,0.0,0.0
589,8.0,0.0,1.0,0.0,0.0,0.0
607,5.0,0.0,0.0,0.0,0.0,0.0
662,130.0,0.0,0.0,1.0,0.0,0.0
674,84.0,4.0,0.0,0.0,0.0,0.0
711,67.0,4.0,2.0,0.0,0.0,0.0
746,2.0,0.0,0.0,0.0,0.0,0.0
820,23.0,0.0,0.0,0.0,0.0,0.0
858,5.0,0.0,0.0,0.0,0.0,0.0
901,8.0,0.0,0.0,0.0,0.0,0.0
927,3.0,0.0,0.0,0.0,0.0,0.0
973,556.0,57.0,4.0,41.0,0.0,0.0
975,940.0,102.0,2.0,0.0,0.0,0.0
982,753.0,5.0,6.0,0.0,0.0,0.0
1014,94.0,0.0,0.0,0.0,0.0,0.0
1025,134.0,0.0,0.0,0.0,0.0,0.0
1036,264.0,9.0,2.0,1.0,0.0,0.0
1039,1986.0,1.0,6.0,0.0,0.0,0.0
1116,73.0,1.0,1.0,0.0,0.0,0.0
1120,10.0,0.0,0.0,0.0,0.0,0.0
1180,323.0,2.0,5.0,0.0,0.0,0.0
1220,208.0,5.0,8.0,0.0,0.0,0.0
1266,14.0,0.0,0.0,1.0,0.0,0.0
1296,169.0,47.0,1.0,0.0,0.0,0.0
1308,1091.0,0.0,2.0,0.0,0.0,0.0
1330,1.0,0.0,1.0,0.0,0.0,0.0
1340,50.0,2.0,0.0,0.0,0.0,0.0
1344,98.0,2.0,1.0,1.0,0.0,0.0
1355,1.0,0.0,0.0,0.0,0.0,0.0
1400,105.0,4.0,1.0,0.0,0.0,0.0
1406,48.0,0.0,0.0,2.0,0.0,0.0
1407,19.0,1.0,0.0,0.0,0.0,0.0
1426,13.0,1.0,0.0,0.0,0.0,0.0
1427,189.0,0.0,0.0,0.0,0.0,0.0
1438,9.0,0.0,0.0,0.0,0.0,0.0
1506,7377.0,14.0,6.0,0.0,0.0,0.0
1546,5.0,0.0,0.0,0.0,0.0,0.0
1581,29.0,3.0,2.0,0.0,0.0,0.0
1612,1424.0,4.0,20.0,2.0,0.0,0.0
1673,321.0,0.0,0.0,2.0,0.0,0.0
1693,8.0,0.0,0.0,0.0,0.0,0.0
1704,6.0,0.0,0.0,0.0,0.0,0.0
1773,554.0,3.0,1.0,0.0,0.0,0.0
1776,318.0,2.0,0.0,0.0,0.0,0.0
1791,4.0,1.0,0.0,0.0,0.0,0.0
1853,7.0,0.0,0.0,0.0,0.0,0.0
1865,390.0,5.0,1.0,0.0,0.0,0.0
1938,497.0,58.0,3.0,7.0,0.0,0.0
1977,144.0,1.0,1.0,0.0,0.0,0.0
1995,1331.0,3.0,10.0,1.0,0.0,0.0
2040,85.0,11.0,1.0,0.0,0.0,0.0
2058,392.0,1.0,1.0,0.0,0.0,0.0
2066,660.0,10.0,3.0,0.0,0.0,0.0
2068,299.0,35.0,7.0,0.0,0.0,0.0
2083,1423.0,3.0,14.0,1.0,0.0,0.0
2084,2.0,0.0,0.0,0.0,0.0,0.0
2089,96.0,0.0,3.0,0.0,0.0,0.0
2180,445.0,3.0,2.0,3.0,0.0,1.0
2223,239.0,3.0,0.0,2.0,0.0,0.0
2247,19.0,0.0,0.0,0.0,0.0,0.0
2252,64.0,5.0,0.0,1.0,0.0,0.0
2276,196.0,2.0,0.0,0.0,0.0,0.0
2302,80.0,6.0,1.0,9.0,0.0,0.0
2306,38.0,0.0,1.0,0.0,0.0,0.0
2309,79.0,7.0,4.0,0.0,0.0,0.0
2335,330.0,0.0,28.0,0.0,0.0,0.0
2337,18.0,0.0,0.0,0.0,0.0,0.0
2426,760.0,40.0,12.0,14.0,0.0,1.0
2439,504.0,19.0,2.0,4.0,0.0,0.0
2526,117.0,1.0,4.0,0.0,0.0,0.0
2582,91.0,0.0,0.0,0.0,0.0,0.0
2640,1235.0,0.0,1.0,0.0,0.0,0.0
2736,319.0,3.0,36.0,0.0,0.0,0.0
2783,1208.0,12.0,2.0,0.0,0.0,0.0
2797,131.0,29.0,3.0,0.0,0.0,0.0
2811,124.0,0.0,1.0,0.0,0.0,0.0
2914,562.0,6.0,3.0,9.0,0.0,0.0
2926,235.0,0.0,0.0,1.0,0.0,0.0
2941,489.0,451.0,19.0,0.0,0.0,0.0
2944,1.0,0.0,0.0,0.0,0.0,0.0
2952,1.0,0.0,0.0,0.0,0.0,0.0
3025,18.0,7.0,0.0,0.0,0.0,0.0
3166,194.0,12.0,2.0,0.0,0.0,0.0
3178,100.0,0.0,0.0,5.0,0.0,0.0
3181,56.0,3.0,1.0,0.0,0.0,0.0
3197,2048.0,8.0,6.0,0.0,0.0,0.0
3203,909.0,0.0,1.0,10.0,0.0,0.0
3245,154.0,0.0,0.0,0.0,0.0,0.0
3306,239.0,26.0,0.0,3.0,0.0,0.0
3347,12.0,0.0,0.0,2.0,0.0,0.0
3365,1.0,0.0,0.0,0.0,0.0,0.0
3369,24.0,0.0,0.0,0.0,0.0,0.0
3376,137.0,1.0,1.0,0.0,0.0,0.0
3402,53.0,0.0,0.0,0.0,0.0,0.0
3422,17.0,1.0,0.0,0.0,0.0,0.0
3465,412.0,6.0,3.0,0.0,0.0,0.0
3473,214.0,6.0,3.0,0.0,0.0,0.0
3475,2447.0,1.0,4.0,0.0,0.0,0.0
3500,316.0,131.0,11.0,14.0,0.0,0.0
3599,24.0,0.0,0.0,0.0,0.0,0.0
3650,21.0,1.0,0.0,0.0,0.0,0.0
3654,151.0,0.0,3.0,0.0,0.0,0.0
3668,67.0,0.0,1.0,0.0,0.0,0.0
3688,65.0,0.0,0.0,0.0,0.0,0.0
3747,13.0,1.0,0.0,0.0,0.0,0.0
3762,338.0,1.0,1.0,0.0,0.0,0.0
3786,775.0,6.0,6.0,2.0,0.0,0.0
3806,365.0,5.0,5.0,1.0,0.0,0.0
3883,5.0,0.0,0.0,0.0,0.0,0.0
3886,237.0,7.0,3.0,0.0,0.0,0.0
3897,121.0,5.0,0.0,1.0,0.0,0.0
3913,230.0,24.0,7.0,0.0,0.0,0.0
3952,69.0,5.0,0.0,0.0,0.0,0.0
3993,811.0,17.0,17.0,0.0,0.0,0.0
3998,2156.0,36.0,1.0,1.0,0.0,0.0
4005,5.0,0.0,0.0,0.0,0.0,0.0
4029,45.0,9.0,0.0,0.0,0.0,0.0
4243,1.0,0.0,0.0,0.0,0.0,0.0
4251,74.0,5.0,0.0,1.0,0.0,0.0
4268,14.0,1.0,0.0,0.0,0.0,0.0
4278,2124.0,3.0,11.0,0.0,0.0,0.0
4287,190.0,12.0,0.0,0.0,0.0,0.0
4310,4.0,0.0,0.0,0.0,0.0,0.0
4328,739.0,6.0,3.0,9.0,0.0,0.0
4367,4.0,0.0,0.0,0.0,0.0,0.0
4370,344.0,144.0,2.0,0.0,0.0,0.0
4396,73.0,17.0,0.0,0.0,0.0,0.0
4416,2.0,1.0,0.0,0.0,0.0,0.0
4447,4.0,0.0,0.0,0.0,0.0,0.0
4456,190.0,0.0,0.0,0.0,0.0,0.0
4459,31.0,0.0,0.0,0.0,0.0,0.0
4476,791.0,1.0,0.0,0.0,0.0,0.0
4527,1078.0,40.0,21.0,1.0,0.0,1.0
4615,191.0,0.0,0.0,0.0,0.0,0.0
4629,266.0,2.0,0.0,1.0,0.0,0.0
4678,108.0,0.0,4.0,0.0,0.0,0.0
4705,42.0,1.0,2.0,0.0,0.0,0.0
4725,50.0,18.0,2.0,0.0,0.0,0.0
4727,217.0,4.0,4.0,0.0,0.0,0.0
4766,162.0,0.0,2.0,0.0,0.0,0.0
4790,25.0,0.0,0.0,0.0,0.0,0.0
4800,61.0,3.0,0.0,0.0,0.0,0.0
4802,153.0,1.0,0.0,0.0,0.0,0.0
4826,198.0,1.0,0.0,0.0,0.0,0.0
4831,86.0,6.0,1.0,0.0,0.0,0.0
4884,18.0,3.0,0.0,0.0,0.0,0.0
4910,94.0,0.0,0.0,0.0,0.0,0.0
4955,2255.0,7.0,11.0,2.0,0.0,0.0
4964,1.0,0.0,0.0,0.0,0.0,0.0
4965,2006.0,4.0,33.0,0.0,0.0,0.0
4966,147.0,19.0,0.0,0.0,0.0,0.0
4977,2.0,0.0,0.0,0.0,0.0,0.0
4980,349.0,11.0,9.0,0.0,0.0,0.0
4998,37.0,0.0,0.0,1.0,0.0,0.0
5006,36.0,0.0,0.0,0.0,0.0,0.0
5056,239.0,3.0,5.0,0.0,0.0,0.0
5065,5.0,0.0,0.0,0.0,0.0,0.0
5104,757.0,1.0,16.0,0.0,0.0,0.0
5114,33.0,2.0,0.0,0.0,0.0,0.0
5149,11.0,0.0,0.0,0.0,0.0,0.0
5240,2242.0,7.0,4.0,7.0,0.0,0.0
5241,23.0,12.0,0.0,0.0,0.0,0.0
5251,110.0,7.0,4.0,1.0,0.0,0.0
5261,1.0,1.0,0.0,0.0,0.0,0.0
5274,92.0,1.0,0.0,0.0,0.0,0.0
5283,90.0,1.0,3.0,0.0,0.0,0.0
5316,10.0,1.0,0.0,0.0,0.0,0.0
5498,447.0,6.0,54.0,0.0,0.0,0.0
5527,1784.0,20.0,11.0,0.0,0.0,0.0
5565,9.0,0.0,0.0,0.0,0.0,0.0
5630,1022.0,3.0,2.0,0.0,0.0,0.0
5661,1.0,0.0,0.0,0.0,0.0,0.0
5687,262.0,5.0,1.0,0.0,0.0,0.0
5741,25.0,0.0,1.0,0.0,0.0,0.0
5764,48.0,0.0,0.0,0.0,0.0,0.0
5789,1750.0,4.0,4.0,3.0,0.0,0.0
5823,64.0,0.0,0.0,0.0,0.0,0.0
5841,109.0,0.0,0.0,0.0,0.0,0.0
5856,5.0,0.0,0.0,1.0,0.0,0.0
5861,748.0,113.0,0.0,4.0,0.0,0.0
5905,22.0,0.0,0.0,2.0,0.0,0.0
5989,560.0,15.0,3.0,0.0,0.0,0.0
6019,3267.0,236.0,28.0,0.0,0.0,0.0
6089,1.0,0.0,0.0,0.0,0.0,0.0
6110,197.0,25.0,12.0,1.0,0.0,0.0
6159,112.0,24.0,0.0,0.0,0.0,0.0
6181,170.0,18.0,25.0,2.0,0.0,0.0
6224,292.0,0.0,7.0,3.0,0.0,0.0
6226,163.0,20.0,0.0,0.0,0.0,0.0
6238,28.0,24.0,0.0,0.0,0.0,0.0
6285,27.0,0.0,0.0,0.0,0.0,0.0
6329,3225.0,9.0,36.0,0.0,0.0,0.0
6336,30.0,0.0,0.0,0.0,0.0,0.0
6376,2291.0,2.0,7.0,4.0,0.0,0.0
6392,6.0,2.0,0.0,0.0,0.0,0.0
6406,2053.0,73.0,16.0,0.0,0.0,0.0
6420,85.0,14.0,1.0,0.0,0.0,0.0
6430,8.0,1.0,0.0,0.0,0.0,0.0
6443,63.0,0.0,3.0,0.0,0.0,0.0
6490,44.0,0.0,2.0,0.0,0.0,0.0
6501,74.0,0.0,0.0,0.0,0.0,0.0
6555,41.0,2.0,0.0,0.0,0.0,0.0
6558,479.0,1.0,2.0,2.0,0.0,0.0
6600,1.0,0.0,0.0,0.0,0.0,0.0
6622,670.0,0.0,5.0,0.0,0.0,0.0
6682,15.0,15.0,1.0,0.0,0.0,0.0
6695,259.0,1.0,7.0,0.0,0.0,0.0
6712,376.0,1.0,6.0,0.0,0.0,0.0
6738,1.0,0.0,0.0,0.0,0.0,0.0
6768,50.0,0.0,7.0,0.0,0.0,0.0
6816,36.0,0.0,0.0,0.0,0.0,0.0
6826,805.0,7.0,17.0,0.0,0.0,0.0
6834,3.0,0.0,0.0,0.0,0.0,0.0
6850,1092.0,40.0,6.0,0.0,0.0,0.0
6857,6.0,0.0,0.0,0.0,0.0,0.0
6884,3.0,0.0,0.0,0.0,0.0,0.0
6918,19.0,0.0,0.0,0.0,0.0,0.0
6919,287.0,5.0,3.0,0.0,0.0,0.0
6999,1.0,0.0,0.0,0.0,0.0,0.0
7023,12.0,1.0,1.0,0.0,0.0,0.0
7035,10.0,0.0,0.0,0.0,0.0,0.0
7083,346.0,3.0,7.0,0.0,0.0,0.0
7120,118.0,2.0,4.0,0.0,0.0,0.0
7151,598.0,23.0,2.0,0.0,0.0,0.0
7167,433.0,4.0,0.0,0.0,0.0,0.0
7190,203.0,1.0,0.0,0.0,0.0,0.0
7222,23.0,7.0,0.0,0.0,0.0,0.0
7234,2.0,0.0,0.0,0.0,0.0,0.0
7247,1.0,0.0,0.0,0.0,0.0,0.0
7327,16.0,0.0,1.0,0.0,0.0,0.0
7347,337.0,1.0,0.0,0.0,0.0,0.0
7348,3930.0,11.0,7.0,0.0,0.0,0.0
7388,2.0,0.0,0.0,0.0,0.0,0.0
7458,15.0,0.0,2.0,0.0,0.0,0.0
7467,2312.0,10.0,0.0,5.0,0.0,0.0
7524,54.0,17.0,16.0,0.0,0.0,0.0
7613,3.0,0.0,0.0,0.0,0.0,0.0
7626,304.0,0.0,0.0,0.0,0.0,0.0
7661,7.0,0.0,0.0,0.0,0.0,0.0
7691,113.0,21.0,5.0,0.0,0.0,0.0
7698,315.0,0.0,1.0,0.0,0.0,0.0
7704,24.0,0.0,0.0,0.0,0.0,0.0
